11.840223532286473,L: LSL 1
11.94998733245302,L: LSL 1
138.23077752336394,L: LSL 1
138.34047612349968,L: LSL 1
138.89003462484106,L: LSL 1
139.00073812506162,L: LSL 1
139.8803791271057,L: LSL 2
139.99009452736937,L: LSL 2
183.33028732717503,L: LSL 111
203.35077777330298,L: LSL 100
223.3701930193929,L: LSL 111
243.39067486545537,L: LSL 100
263.41010651155375,L: LSL 111
283.43054955767,L: LSL 100
331.7334189689718,L: LSL 111
351.7528056150768,L: LSL 100
371.77327896119095,L: LSL 111
391.79271190729924,L: LSL 100
411.81316125334706,L: LSL 111
431.83266919944435,L: LSL 100
517.3027659963118,L: LSL 111
537.3231514424551,L: LSL 100
557.3425980885513,L: LSL 111
577.3630531346425,L: LSL 100
597.382537280675,L: LSL 111
617.4030456268229,L: LSL 100
647.1025193951791,L: LSL 111
667.1226014413405,L: LSL 100
687.1430629874812,L: LSL 111
707.1625305336202,L: LSL 100
727.1829685796984,L: LSL 111
747.0927657254506,L: LSL 100
